"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Thing-to-thing electricity micro payments using blockchain technology","T. Lundqvist; A. de Blanche; H. R. H. Andersson","Department of Engineering Science, University West, Trollh&#x00E4;ttan, Sweden; Department of Engineering Science, University West, Trollh&#x00E4;ttan, Sweden; Department of Engineering Science, University West, Trollh&#x00E4;ttan, Sweden","2017 Global Internet of Things Summit (GIoTS)","","2017","","","1","6","","","","10.1109/GIOTS.2017.8016254","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8016254","IoT;Internet of things;Bitcoin;Digital payments;Crypto currency;Smart grid","Bitcoin;Sockets;Protocols;Communication cables;Peer-to-peer computing;Internet of Things;Aggregates","electronic trading;Internet of Things","thing-to-thing electricity micro payments;blockchain technology;Internet of Things;IoT;credit card-based systems;decentralized structure;smart socket;human interaction;Bitcoin network;single-fee micro-payment protocol;ubiquitous thing-to-thing micro-payments","","","","","","","","","","IEEE","IEEE Conferences"
"Privacy-preserving blockchain based IoT ecosystem using attribute-based encryption","Y. Rahulamathavan; R. C. -. Phan; M. Rajarajan; S. Misra; A. Kondoz","Institute for Digital Technologies, Loughborough University London, London, U.K.; MMU University, Malaysia, US; Information Security Group, School of Engineering and Mathematical Sciences, City University London, EC1V 0HB, London, U.K.; Department of Computer Science & Engineering Indian Institute of Technology, Kharagpur; Institute for Digital Technologies, Loughborough University London, London, U.K.","2017 IEEE International Conference on Advanced Networks and Telecommunications Systems (ANTS)","","2017","","","1","6","","","","10.1109/ANTS.2017.8384164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8384164","Privacy;security;Internet of Things;Blockchain;attribute based encryption","Encryption;Sensors;Medical services;Data privacy","cryptography;data mining;data privacy;Internet of Things","privacy-preserving blockchain based IoT ecosystem;attribute-based encryption;IoT devices;critical applications;sophisticated security measures;IoT applications;confidentiality;privacy-preserving blockchain architecture;numerical analyses;Internet of Things;mining purpose;verification purpose","","","","","","","","","","IEEE","IEEE Conferences"
"An Out-of-band Authentication Scheme for Internet of Things Using Blockchain Technology","L. Wu; X. Du; W. Wang; B. Lin","Dept. of Mathematics and Computer Science, Fayetteville State University, Fayetteville, NC, USA; Dept. of Computer and Information Sciences, Temple University, Philadelphia, PA, USA; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, 3 Shangyuancun, Beijing, 100044, China; Dept. of Information Science and Technology, Dalian Maritime University, Dalian, China","2018 International Conference on Computing, Networking and Communications (ICNC)","","2018","","","769","773","","","","10.1109/ICCNC.2018.8390280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390280","Internet-of-Things;Out-of-band;Authentication;Blockchain","Authentication;Servers;Contracts;Authorization;Bitcoin","computer network security;Internet of Things","IoT devices;decentralized Blockchain technology;out-of-band two-factor authentication scheme;Internet of Things","","","","","","","","","","IEEE","IEEE Conferences"
"Hosting Virtual IoT Resources on Edge-Hosts with Blockchain","M. Samaniego; R. Deters","NA; NA","2016 IEEE International Conference on Computer and Information Technology (CIT)","","2016","","","116","119","","","","10.1109/CIT.2016.71","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7876325","Blockchain;Virtual Resources;Edge-Computing;Fog;IoT","","Internet of Things;virtualisation","virtual IoT resources;edge hosts;blockchain;IoT systems;cloud-centric;network latency;sensors;actuators;software-defined IoT management construct;multitenancy support;load distribution","","","","","","","","","","IEEE","IEEE Conferences"
"IoTChain: A blockchain security architecture for the Internet of Things","O. Alphand; M. Amoretti; T. Claeys; S. Dall'Asta; A. Duda; G. Ferrari; F. Rousseau; B. Tourancheau; L. Veltri; F. Zanichelli","Univ. Grenoble Alpes, CNRS, Grenoble INP, LIG, F-38000 Grenoble, France; Department of Engineering and Architecture, University of Parma, Italy; Univ. Grenoble Alpes, CNRS, Grenoble INP, LIG, F-38000 Grenoble, France; Department of Engineering and Architecture, University of Parma, Italy; Univ. Grenoble Alpes, CNRS, Grenoble INP, LIG, F-38000 Grenoble, France; Department of Engineering and Architecture, University of Parma, Italy; Univ. Grenoble Alpes, CNRS, Grenoble INP, LIG, F-38000 Grenoble, France; Univ. Grenoble Alpes, CNRS, Grenoble INP, LIG, F-38000 Grenoble, France; Department of Engineering and Architecture, University of Parma, Italy; Department of Engineering and Architecture, University of Parma, Italy","2018 IEEE Wireless Communications and Networking Conference (WCNC)","","2018","","","1","6","","","","10.1109/WCNC.2018.8377385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377385","Communication security;Internet of Things;Group key distribution;Authorization;Blockchain","Servers;Contracts;Authorization;Cryptography;Peer-to-peer computing","authorisation;cryptography;Internet of Things","IoTChain;OSCAR architecture;ACE authorization framework;secure authorized access;IoT resources;authorization blockchain;OSCAR object security model;group key scheme;blockchain security architecture;architecture components;Internet of Things;E2E solution;private Ethereum network","","","","","","","","","","IEEE","IEEE Conferences"
"Vegvisir: A Partition-Tolerant Blockchain for the Internet-of-Things","K. Karlsson; W. Jiang; S. Wicker; D. Adams; E. Ma; R. van Renesse; H. Weatherspoon","NA; NA; NA; NA; NA; NA; NA","2018 IEEE 38th International Conference on Distributed Computing Systems (ICDCS)","","2018","","","1150","1158","","","","10.1109/ICDCS.2018.00114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8416377","blockchain;CRDT;tamper-proof logging;ad hoc networking;IoT;gossip protocols","Bitcoin;Protocols;Marine vehicles;Ad hoc networks;Industries;Privacy","directed graphs;Internet of Things","partition-tolerant blockchain;Internet-of-Things;Nakamoto-style blockchains;battery-constrained nodes;power-constrained IoT environments;directed acyclic graph-structured blockchain","","","","","","","","","","IEEE","IEEE Conferences"
"Privacy Preserving Profile Matching Protocol for Human-Centric Social Internet of Things","J. Zouari; M. Hamdi; T. Kom","NA; NA; NA","2018 IEEE 27th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)","","2018","","","181","186","","","","10.1109/WETICE.2018.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8495932","Privacy;social internet of things;profile matching;fuzzy vault;trust;blockchain","Internet of Things;Finite element analysis;Galois fields;Protocols;Cryptography;Privacy","","","","","","","","","","","","IEEE","IEEE Conferences"
"FIF-IoT: A Forensic Investigation Framework for IoT Using a Public Digital Ledger","M. Hossain; Y. Karim; R. Hasan","NA; NA; NA","2018 IEEE International Congress on Internet of Things (ICIOT)","","2018","","","33","40","","","","10.1109/ICIOT.2018.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8473437","Forensics;Cybercrimes;Attack;Investigation","Forensics;Biomedical monitoring;Internet of Things;Hospitals;Stakeholders;Cloud computing","data integrity;data privacy;digital forensics;Internet of Things","public digital ledger;FIF-IoT;forensic investigation framework;IoT devices;IoT-based systems;Internet of Things devices;criminal incidents;evidence integrity;evidence confidentiality;evidence anonymity","","","","","","","","","","IEEE","IEEE Conferences"
"Probe-IoT: A public digital ledger based forensic investigation framework for IoT","M. Hossain; R. Hasan; S. Zawoad","Dept. of Computer Science, University of Alabama at Birmingham, USA; Dept. of Computer Science, University of Alabama at Birmingham, USA; Dept. of Computer Science, University of Alabama at Birmingham, USA","IEEE INFOCOM 2018 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)","","2018","","","1","2","","","","10.1109/INFCOMW.2018.8406875","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406875","Forensics;Cybercrime;Attack;Investigation","Internet of Things;Forensics;Logic gates;Stakeholders;Public key;Conferences","digital forensics;electronic money;Internet of Things","IoT devices;IoT-based systems;Internet of Things devices;public digital ledger-based forensic investigation framework;Bitcoin network;criminal incidents","","","","","","","","","","IEEE","IEEE Conferences"
"Decentralized Consensus for Edge-Centric Internet of Things: A Review, Taxonomy, and Research Issues","K. Yeow; A. Gani; R. W. Ahmad; J. J. P. C. Rodrigues; K. Ko","Faculty of Computer Science and Information Technology and Center for Mobile Cloud Computing Research, University of Malaya, Kuala Lumpur, Malaysia; Center for Mobile Cloud Computing Research, University of Malaya, Kuala Lumpur, Malaysia; Center for Mobile Cloud Computing Research, University of Malaya, Kuala Lumpur, Malaysia; National Institute of Telecommunications, Santa Rita do Sapucaí-MG, Brazil; School of Computer and Information Engineering, Sangji University, Wonju, South Korea","IEEE Access","","2018","6","","1513","1524","","","","10.1109/ACCESS.2017.2779263","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8168250","Blockchain;decentralized consensus systems;directed acyclic graph;edge-centric Internet of Things","Cloud computing;Edge computing;Taxonomy;Data structures;Internet of Things;Electronic mail","cloud computing;directed graphs;Internet of Things","decentralized consensus system;edge-centric IoT;edge-centric computing;legacy cloud-centric platforms;cloud-centric models;distributed edge-centric models;edge-centric internet of things;blockchainless directed acyclic graph technologies","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Zero-Trust Hierarchical Management in IoT","M. Samaniego; R. Deters","NA; NA","2018 IEEE International Congress on Internet of Things (ICIOT)","","2018","","","88","95","","","","10.1109/ICIOT.2018.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8473444","Internet of Things;Blockchain;Hierarchical Mining;Zero-Trust Management;Edge Computing","Data mining;Reliability;Internet of Things;Contracts;Middleware","computer network management;Internet of Things;middleware","zero-trust hierarchical management;exponential scalability;IoT networks;constrained infrastructure;blockchain-based middleware;zero-trust hierarchical mining process","","","","","","","","","","IEEE","IEEE Conferences"
"Secured Data Storage Scheme Based on Block Chain for Agricultural Products Tracking","C. Xie; Y. Sun; H. Luo","NA; NA; NA","2017 3rd International Conference on Big Data Computing and Communications (BIGCOM)","","2017","","","45","50","","","","10.1109/BIGCOM.2017.43","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8113046","data security;blockchain;agricultural products tracking;internet of things;sensor data;secured storage","Memory;Robot sensing systems;Agricultural products;Safety;Servers;Reactive power;Internet of Things","agricultural products;cryptography;data structures;Internet of Things;production engineering computing;storage management","agricultural products tracking;quality tracking;blockchain technology;hash data;double-chain storage structure;chained data structure;blockchain transaction;tracked data storage safety;Internet of Things technology;data storage security","","","","","","","","","","IEEE","IEEE Conferences"
"A security framework for IOT devices against wireless threats","G. Varshney; H. Gupta","Amity University, Noida; Amity University, Noida","2017 2nd International Conference on Telecommunication and Networks (TEL-NET)","","2017","","","1","6","","","","10.1109/TEL-NET.2017.8343548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8343548","Blockchain;Centralized;Decentralized;IOT;Network Security","Cryptography;Computer architecture;Distributed databases;Smart devices;Internet of Things","Internet;Internet of Things;mobile computing;security of data;smart phones;telecommunication security","security framework;IOT devices;smart phone;security systems;smarts locks;smart home devices;IOT device security;IT Industry","","","","","","","","","","IEEE","IEEE Conferences"
"CapChain: A Privacy Preserving Access Control Framework Based on Blockchain for Pervasive Environments","T. Le; M. W. Mutka","NA; NA","2018 IEEE International Conference on Smart Computing (SMARTCOMP)","","2018","","","57","64","","","","10.1109/SMARTCOMP.2018.00074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8421332","access control;internet of things;blockchain;privacy","Access control;Privacy;Bitcoin;Elliptic curve cryptography;Internet of Things","authorisation;computer network security;data privacy;Internet of Things;outsourcing;ubiquitous computing","CapChain;privacy preserving access control framework;pervasive computing;IoT data;decentralized design;trustless design;immutable design;access rights;IoT devices;anonymous crypto-currency blockchain systems;sensitive information;outsourced cloud services;Internet of Things","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain for IoT security and privacy: The case study of a smart home","A. Dorri; S. S. Kanhere; R. Jurdak; P. Gauravaram","School of Computer Science and Engineering, The University of New South Wales, Sydney, Australia; School of Computer Science and Engineering, The University of New South Wales, Sydney, Australia; CSIRO, Brisbane, Queensland, Australia; Tata Consultancy Services, Australia","2017 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops)","","2017","","","618","623","","","","10.1109/PERCOMW.2017.7917634","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917634","","Smart homes;Security;Cloud computing;Privacy;Internet of Things;Conferences;Online banking","cloud computing;data privacy;home automation;Internet of Things;storage management","IoT security;IoT privacy;resource-constrained IoT devices;Internet of Things security;Internet of Things privacy;Blockchain-based approaches;proof-of-work;POW;smart home setting;BC-based smart home framework;cloud storage","","","","","","","","","","IEEE","IEEE Conferences"
"Securing user identity and transactions symbiotically: IoT meets blockchain","D. W. Kravitz; J. Cooper","NA; NA","2017 Global Internet of Things Summit (GIoTS)","","2017","","","1","6","","","","10.1109/GIOTS.2017.8016280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8016280","IoT;cryptography;security;privacy;permissioned blockchain;blockchain","Public key;Robustness;History;Performance evaluation;Protocols;Standards","data privacy;Internet of Things;security of data","user identity;transactions symbiotically;IoT;embedded devices;privacy;security;blockchain technology;Permissioned Blockchains;Distributed Identity Management;device identity;attribute management","","","","","","","","","","IEEE","IEEE Conferences"
"IoT Data Integrity Verification for Cyber-Physical Systems Using Blockchain","C. Machado; A. A. Medeiros Fröhlich","NA; NA","2018 IEEE 21st International Symposium on Real-Time Distributed Computing (ISORC)","","2018","","","83","90","","","","10.1109/ISORC.2018.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8421150","blockchain;data integrity verification;cyber physical systems;internet of things","Logic gates;Protocols;Peer-to-peer computing;Computer architecture;Synchronization;Data integrity","data integrity;Internet of Things;protocols;telecommunication security;trusted computing;Zigbee","CPS;IoT data integrity verification;blockchain technologies;trustful features;blockchain based solutions;semitrusted data storages;cloud providers;IoT devices;blockchain features;trustful space-time protocol;cyber-physical systems;time-bounded operations;proof-of-trust;TSTP;IEEE 802.15.4 radios","","","","","","","","","","IEEE","IEEE Conferences"
"Enhancing SDN security for IoT-related deployments through blockchain","C. Tselios; I. Politis; S. Kotsopoulos","Wireless Telecommunications Laboratory, University of Patras; Wireless Telecommunications Laboratory, University of Patras; Wireless Telecommunications Laboratory, University of Patras","2017 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN)","","2017","","","303","308","","","","10.1109/NFV-SDN.2017.8169860","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8169860","Cloud;Virtualization;SDN;IoT;Blockchain","Security;Switches;Cloud computing;Business;Conferences","cloud computing;computer network security;Internet;Internet of Things;software defined networking","emerging networking paradigm;Software Defined Networking;policy enforcement;network reconfiguration;dynamic manner;increased attack surface;traditional networking deployments;thorny issue;safety-critical applications;Internet-of-Things-related networking elements;connected nodes;efficient monitoring;IoT clouds;recently introduced Blockchain paradigm;render Blockchain;significant security factor;SDN security;business activity;integrated world;connected world;cross national boundaries;geographic boundaries;jurisdictional boundaries;efficient entity interconnection;networking paradigm;IoT-related deployments;cloud computing infrastructure;additional security concerns;national boundaries;SDN;intercloud communication","","","","","","","","","","IEEE","IEEE Conferences"
"A supply chain traceability system for food safety based on HACCP, blockchain &amp; Internet of things","Feng Tian","Department of Information Systems and Operations, Vienna University of Economics and Business, Austria","2017 International Conference on Service Systems and Service Management","","2017","","","1","6","","","","10.1109/ICSSSM.2017.7996119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7996119","Food supply chain;traceability systems;decentralized systems;blockchain;food safety","Supply chains;Safety;Documentation;Internet of Things;Monitoring;Training;Scalability","food safety;health hazards;Internet of Things;production engineering computing;supply chain management","supply chain traceability system;food safety;HACCP;blockchain;Internet of Things;real-time food tracing;hazard analysis and critical control points;BigchainDB;decentralized systems","","","","","","","","","","IEEE","IEEE Conferences"
"A decentralized solution for IoT data trusted exchange based-on blockchain","Z. Huang; X. Su; Y. Zhang; C. Shi; H. Zhang; L. Xie","Faculty of Information Technology, Beijing University of Technology, Beijing; Faculty of Information Technology, Beijing University of Technology, Beijing; Advanced Control Systems Laboratory, School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing; Faculty of Information Technology, Beijing University of Technology, Beijing; Faculty of Information Technology, Beijing University of Technology, Beijing","2017 3rd IEEE International Conference on Computer and Communications (ICCC)","","2017","","","1180","1184","","","","10.1109/CompComm.2017.8322729","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8322729","IoT data;Trusted Exchange;Blockchain;Smart Contracts","Contracts;Data privacy;Permission;Peer-to-peer computing;Cloud computing;Electronic mail","electronic data interchange;Internet of Things;security of data;trusted computing","untrustworthy environment;Internet of Things;IoT data trusted exchange;Ethereum blockchain;decentralized solution;IoT data sets;distributed data sources;IoT data exchange platforms","","","","","","","","","","IEEE","IEEE Conferences"
"HealthSense: A medical use case of Internet of Things and blockchain","T. Dey; S. Jaiswal; S. Sunderkrishnan; N. Katre","Information Technology Department, DJ Sanghvi College of Engineering, Mumbai, India; Information Technology Department, DJ Sanghvi College of Engineering, Mumbai, India; Computer Department DJ, Sanghvi College of Engineering, Mumbai, India; Information Technology Department, D. J. Sanghvi College of Engineering, Mumbai, India","2017 International Conference on Intelligent Sustainable Systems (ICISS)","","2017","","","486","491","","","","10.1109/ISS1.2017.8389459","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8389459","BlockchInternet of Things;InterPlanetary File System;MQTT;Representational State Transfer","Peer-to-peer computing;Protocols;Contracts;Internet of Things;Biological system modeling;Conferences","health care;hospitals;Internet of Things;medical information systems;patient care;peer-to-peer computing;security of data","healthcare;patient confidence;HealthSense;peer to peer database;blockchain-Internet of Things model;bio-sensor;patient medical status;smart contract;inter planetary file system","","","","","","","","","","IEEE","IEEE Conferences"
"Analysis of the Communication Traffic for Blockchain Synchronization of IoT Devices","P. Danzi; A. E. Kalor; C. Stefanovic; P. Popovski","NA; NA; NA; NA","2018 IEEE International Conference on Communications (ICC)","","2018","","","1","7","","","","10.1109/ICC.2018.8422485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8422485","","Protocols;Synchronization;Peer-to-peer computing;Contracts;Wireless communication;Communication system security","Internet;Internet of Things;peer-to-peer computing;protocols;synchronisation;telecommunication traffic","blockchain synchronization;IoT device;decentralized accounting mechanism;blockchain network;validator nodes;peer-to-peer fashion;relatively low computing capabilities;low power consumption;low-bandwidth wireless connectivity;blockchain copy;synchronization protocols;IoT endpoints;blockchain-powered IoT systems;communication traffic analysis;Internet of Things ecosystem;communication costs;account state","","","","","","","","","","IEEE","IEEE Conferences"
"A Software Defined Fog Node Based Distributed Blockchain Cloud Architecture for IoT","P. K. Sharma; M. Chen; J. H. Park","Department of Computer Science and Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Department of Information Management, National Taichung University of Science and Technology, Taichung, Taiwan; Department of Computer Science and Engineering, Seoul National University of Science and Technology, Seoul, South Korea","IEEE Access","","2018","6","","115","124","","","","10.1109/ACCESS.2017.2757955","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8053750","Internet of things;software defined networking;security;blockchain;cloud computing;fog computing;edge computing","Cloud computing;Computer architecture;Edge computing;Performance evaluation;Peer-to-peer computing;Distributed databases;Security","cloud computing;computer centres;computer network security;Internet of Things;software defined networking","distributed cloud architecture;blockchain technology;competitive computing infrastructures;IoT network;distributed cloud infrastructure;cost-effective high-performance computing;low latency access;secure distributed fog node architecture;blockchain techniques;multiple computing resources;software defined fog node;blockchain cloud architecture;smart devices;huge data stores;centralized data centers;cloud storage;software defined networking;controller fog nodes;network architecture;real-time data delivery;fog services deployment;real-time attack detection;performance overheads","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Review of Ethereum: Smart home case study","Y. N. Aung; T. Tantidham","Faculty of ICT, Mahidol University, Bangkok, Thailand; Faculty of ICT, Mahidol University, Bangkok, Thailand","2017 2nd International Conference on Information Technology (INCIT)","","2017","","","1","4","","","","10.1109/INCIT.2017.8257877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257877","blockchain;ethereum;internet of things;security;smart home","Contracts;Peer-to-peer computing;Security;Monitoring;Smart homes;Intelligent sensors","authorisation;data privacy;home computing;Internet;Internet of Things;security of data","smart home case study;transportation;education;privacy issues;smart home system;SHS;home appliances;home security;health care systems;homeowner;appliances functions;security issues;Ethereum Blockchain packages;smart contract features;Internet;Ethereum;Internet of Things;IoT","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain Design for Trusted Decentralized IoT Networks","J. C. Song; M. A. Demir; J. J. Prevost; P. Rad","Department of Electrical and Computer Engineering, The University of Texas at San Antonio, One UTSA Circle, San Antonio, TX, 78249; Department of Electrical and Computer Engineering, The University of Texas at San Antonio, One UTSA Circle, San Antonio, TX, 78249; Department of Electrical and Computer Engineering, The University of Texas at San Antonio, One UTSA Circle, San Antonio, TX, 78249; Department of Electrical and Computer Engineering, The University of Texas at San Antonio, One UTSA Circle, San Antonio, TX, 78249","2018 13th Annual Conference on System of Systems Engineering (SoSE)","","2018","","","169","174","","","","10.1109/SYSOSE.2018.8428720","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8428720","blockchain;IoT;framework;sensor data","Bitcoin;Peer-to-peer computing;Cloud computing;Voting;Task analysis;Market research","computer network security;data acquisition;Internet of Things;trusted computing","blockchain design;trusted decentralized IoT networks;decentralized fault-resistant management;Internet of Things;data immutability;latency;resource consumption;secure IoT;secured sensor data acquisition","","","","","","","","","","IEEE","IEEE Conferences"
"CONNECT: CONtextual NamE disCovery for blockchain-based services in the IoT","V. Daza; R. Di Pietro; I. Klimek; M. Signorini","Pompeu Fabra University, Barcelona, Spain; Nokia Bell Labs, Paris, France; Excalibur s.r.o., Krakow, Poland; Nokia Bell Labs, Paris, France","2017 IEEE International Conference on Communications (ICC)","","2017","","","1","6","","","","10.1109/ICC.2017.7996641","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7996641","","Peer-to-peer computing;Internet of Things;Protocols;Standards;Ecosystems;IP networks;Bitcoin","Internet of Things;open systems;protocols","CONNECT;CONtextual NamE disCovery;blockchain-based services;Internet of Things;seamlessly interconnected devices;smart environment;heterogeneous ecosystems;service provider;IoT devices;blockchain technology;interoperability","","","","","","","","","","IEEE","IEEE Conferences"
"Autonomic Identity Framework for the Internet of Things","X. Zhu; Y. Badr; J. Pacheco; S. Hariri","NA; NA; NA; NA","2017 International Conference on Cloud and Autonomic Computing (ICCAC)","","2017","","","69","79","","","","10.1109/ICCAC.2017.14","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8064055","Blockchain;Internet of Things;Identity Management;Security;Self-Discovery;Autonomic Computing","Home appliances;Monitoring;Digital signatures;Object recognition;Smart homes;Discrete wavelet transforms","authorisation;data privacy;domestic appliances;Internet;Internet of Things;security of data","exponential number;interconnected devices;cyber-security;digital identity concept;security mechanisms;current centralized identity management systems;party identity providers;IoT unconventional characteristics;heterogeneity;mobility;intrinsic digital properties;IoT smart homes;identity self-management;smart home;low level identities;IoT entity;autonomic identity framework;mobile devices;smart buildings;electrical grids;gas plants;airplanes;advanced information services;Internet of Things","","","","","","","","","","IEEE","IEEE Conferences"
"Towards secure elements for trusted transactions in blockchain and blochchain IoT (BIoT) Platforms. Invited paper","P. Urien","LTCI Telecom ParisTech, Paris, France","2018 Fourth International Conference on Mobile and Secure Services (MobiSecServ)","","2018","","","1","5","","","","10.1109/MOBISECSERV.2018.8311445","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8311445","Blockchain;Secure Elements;Security;RACS","Servers;Public key;Elliptic curves;Databases;Cryptocurrency","digital signatures;financial data processing;Internet of Things;private key cryptography;random sequences;smart cards","32 bytes secret keys;javacard secure elements;Crypto Currency Smart Card;open hardware platform;ethereum transactions;CCSC javacards;ECDSA signature;trusted transactions;BIoT;blockchain transactions;blochchain IoT;JC3.04 standard platform","","","","","","","","","","IEEE","IEEE Conferences"
"The role of blockchain and IoT in recruiting participants for digital clinical trials","F. Angeletti; I. Chatzigiannakis; A. Vitaletti","DIAG, University of Rome &#x0022;La Sapienza&#x0022;; DIAG, University of Rome &#x0022;La Sapienza&#x0022;; DIAG, University of Rome &#x0022;La Sapienza&#x0022;","2017 25th International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","","2017","","","1","5","","","","10.23919/SOFTCOM.2017.8115590","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115590","Blockchain;IoT;Clinical Trial;mHealth;Privacy","Clinical trials;Recruitment;Data privacy;Logic gates;Drugs;Electronic mail;Internet of Things","data privacy;Internet;Internet of Things;medical computing","digital clinical trials;personal data;internet-centered services;data private;useful data;authentic data;blockchain;IoT;participant recruitment;Internet-centered services;Internet of Things;privacy-preserving applications;Clinical Research Institute","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain for the Internet of Things: A systematic literature review","M. Conoscenti; A. Vetrò; J. C. De Martin","Nexa Center for Internet & Society, DAUIN-Politecnico di Torino, Italy; Nexa Center for Internet & Society, DAUIN-Politecnico di Torino, Italy; Nexa Center for Internet & Society, DAUIN-Politecnico di Torino, Italy","2016 IEEE/ACS 13th International Conference of Computer Systems and Applications (AICCSA)","","2016","","","1","6","","","","10.1109/AICCSA.2016.7945805","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7945805","","Data mining;Peer-to-peer computing;Cryptography;Internet;Online banking;Contracts;Bibliographies","data integrity;data privacy;Internet of Things;peer-to-peer computing","Internet of Things;blockchain;private-by-design IoT;private-by-design data management;integrity;anonymity;adaptability;pseudonymity;proof-of-work;P2P systems;peer-to-peer systems","","","","","","","","","","IEEE","IEEE Conferences"
"World of Empowered IoT Users","S. H. Hashemi; F. Faghri; P. Rausch; R. H. Campbell","NA; NA; NA; NA","2016 IEEE First International Conference on Internet-of-Things Design and Implementation (IoTDI)","","2016","","","13","24","","","","10.1109/IoTDI.2015.39","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7471347","Internet of Things;Blockchain;Access Control;Capability-Based Security;Privacy Preserving","Medical services;Organizations;Autonomous automobiles;Urban areas;Intelligent sensors;Data models","cryptography;Internet of Things","IoT users;Internet of Things;sensors;actuators;data aggregation;cloud computing;data acquisition;data distribution;user-centric multilevel multiple granularity mechanism;crypto currencies","","","","","","","","","","IEEE","IEEE Conferences"
"Poster Abstract: Chained of Things: A Secure and Dependable Design of Autonomous Vehicle Services","M. G. M. Mehedi Hasan; A. Datta; M. A. Rahman","NA; NA; NA","2018 IEEE/ACM Third International Conference on Internet-of-Things Design and Implementation (IoTDI)","","2018","","","298","299","","","","10.1109/IoTDI.2018.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367009","Autonomous Vehicle;Cybersecurity;Blockchain;Chained of Things;Ride Sharing","Fabrics;Automobiles;Reliability;Smart devices;Ecosystems;Autonomous vehicles","Internet of Things;mobile robots;security of data;traffic engineering computing","Autonomous vehicle services;Autonomous Vehicles;ride share;security solutions;Chained of Things;secure design;car industry;AV/IoT device;device communication;Blockchain-based solution","","","","","","","","","","IEEE","IEEE Conferences"
