Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
[No author name available],[No author id available],"Proceedings - 2019 18th International Symposium on Parallel and Distributed Computing, ISPDC 2019",2019,"Proceedings - 2019 18th International Symposium on Parallel and Distributed Computing, ISPDC 2019",,,,"","",155,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071485662&partnerID=40&md5=394b7cc3fbec23cab48574c8eb4ff040",,"","The proceedings contain 16 papers. The topics discussed include: operating permissioned blockchain in clouds: a performance study of hyperledger sawtooth; a discrete particle swarm optimization approach for energy-efficient IoT services placement over fog infrastructures; anomaly detection in high performance computers: a vicinity perspective; multi-phased task placement of HPC applications in the cloud; attributes assessing the quality of microservices automatically decomposed from monolithic applications; and leveraging infiniband for highly concurrent messaging in java applications.",,,Conference Review,"Final",,Scopus,2-s2.0-85071485662
"Figueroa S., Anorga J., Arrizabalaga S., Irigoyen I., Monterde M.","57204451999;56040816900;24175532000;57215345949;57215350943;","An attribute-based access control using chaincode in RFID systems",2019,"2019 10th IFIP International Conference on New Technologies, Mobility and Security, NTMS 2019 - Proceedings and Workshop",,, 8763824,"","",,1,"10.1109/NTMS.2019.8763824","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070372522&doi=10.1109%2fNTMS.2019.8763824&partnerID=40&md5=c0a16be8ae7ee0497a464197b8cafe9a","Ceit, Manuel Lardizabal 15, Donostia/San-Sebastián, 20018, Spain; Universidad de Navarra, Tecnun, Manuel Lardizabal 13, Donostia/San-Sebastián, 20018, Spain","Figueroa, S., Ceit, Manuel Lardizabal 15, Donostia/San-Sebastián, 20018, Spain, Universidad de Navarra, Tecnun, Manuel Lardizabal 13, Donostia/San-Sebastián, 20018, Spain; Anorga, J., Ceit, Manuel Lardizabal 15, Donostia/San-Sebastián, 20018, Spain, Universidad de Navarra, Tecnun, Manuel Lardizabal 13, Donostia/San-Sebastián, 20018, Spain; Arrizabalaga, S., Ceit, Manuel Lardizabal 15, Donostia/San-Sebastián, 20018, Spain, Universidad de Navarra, Tecnun, Manuel Lardizabal 13, Donostia/San-Sebastián, 20018, Spain; Irigoyen, I., Ceit, Manuel Lardizabal 15, Donostia/San-Sebastián, 20018, Spain; Monterde, M., Ceit, Manuel Lardizabal 15, Donostia/San-Sebastián, 20018, Spain","Ideal RFID systems used in product lifecycle should satisfy high confidentiality, anonymity, integrity and high availability. However, collection and distribution of RFID data are subject to various security concerns. RFID middleware systems are likely to suffer from parameter manipulation and eavesdropping, raising privacy concerns. Most recent works focus on access control schemes with models based on Attribute-Based Access Control (ABAC). These schemes, to enhance the security and privacy, are based on centralized models. In this paper, we present an ABAC model using chaincode in RFID systems. Our ABAC system is based on Hyperledger Fabric Blockchain, which is a modular and extensible open-source system for deploying and operating permissioned blockchains. Our ABAC model uses smart contracts and blockchain technology as versatile infrastructures to represent the trust and endorsement relationship that are essential in the ABAC model in order to ensure the security of RFID systems. It should also be noted that the RFID system presented is based on the EPCGlobal standard. © 2019 IEEE.","ABAC; Blockchain; Chaincode; IoT; RFID","Access control; Blockchain; Life cycle; Middleware; Open systems; ABAC; Access control schemes; Attribute based access control; Centralized models; Chain codes; Open source system; Parameter manipulations; Security and privacy; Radio frequency identification (RFID)",Conference Paper,"Final",,Scopus,2-s2.0-85070372522
"Tang B., Kang H., Fan J., Li Q., Sandhu R.","55841135800;57209281637;57209282805;57200602838;57213811771;","IoT passport: A blockchain-based trust framework for collaborative internet-of-things",2019,"Proceedings of ACM Symposium on Access Control Models and Technologies, SACMAT",,,,"83","92",,11,"10.1145/3322431.3326327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067205375&doi=10.1145%2f3322431.3326327&partnerID=40&md5=cdba9246dabbc6de90c66969150d8864","Information Security Laboratory, Sichuan Changhong Electric Co., Ltd., China; Institute for Network Sciences and Cyberspace, Tsinghua University BNRist, Tsinghua University, China; Institute for Cyber Security, Department of Computer Science, University of Texas, San Antonio, United States","Tang, B., Information Security Laboratory, Sichuan Changhong Electric Co., Ltd., China; Kang, H., Information Security Laboratory, Sichuan Changhong Electric Co., Ltd., China; Fan, J., Information Security Laboratory, Sichuan Changhong Electric Co., Ltd., China; Li, Q., Institute for Network Sciences and Cyberspace, Tsinghua University BNRist, Tsinghua University, China; Sandhu, R., Institute for Cyber Security, Department of Computer Science, University of Texas, San Antonio, United States","Internet-of-Things (IoT) is a rapidly-growing transformative expansion of the Internet with increasing influence on our daily life. Since the number of ""things"" is expected to soon surpass human population, control and automation of IoT devices has received considerable attention from academia and industry. Cross-platform collaboration is highly desirable for better user experience due to fragmentation of user needs and vendor products with time. Centralized approaches have been used to build federated trust among platforms and devices, but limit diversity and scalability. We propose a decentralized trust framework, called IoT Passport, for cross-platform collaborations using blockchain technology. IoT Passport is motivated by the familiar use of passports for international travel but with greater dynamism. It enables platforms to establish arbitrary trust relations with each other containing specific rules for intended collaborations, enforced by a combination of smart contracts. Each interaction among devices is signed by the participants and recorded on the blockchain. The records are utilized as attributes for authorization and as proofs of incentive plans. This approach incorporates the preferences of participating platforms and end users, and opens new avenues for collaborative edge computing as well as research on blockchain-based access control mechanism for IoT environments. © 2019 Copyright held by the owner/author(s).","Access control; Blockchain; Internet of things; Trust framework","Access control; Blockchain; Open access; Trusted computing; Access control mechanism; Centralized approaches; Control and automation; Human population; International travel; Internet of Things (IOT); Trust frameworks; Vendor products; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85067205375
[No author name available],[No author id available],"Proceedings of ACM Symposium on Access Control Models and Technologies, SACMAT",2019,"Proceedings of ACM Symposium on Access Control Models and Technologies, SACMAT",,,,"","",239,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067182358&partnerID=40&md5=8ff9d86cad506c7bbeffaa46dc57c6b1",,"","The proceedings contain 27 papers. The topics discussed include: access control for binary integrity protection using ethereum; FriendGuard: a friend search engine with guaranteed friend exposure degree; brokering policies and execution monitors for IoT middleware; expat: expectation-based policy analysis and enforcement for appified smart-home platforms; owner-centric sharing of physical resources, data, and data-driven insights in digital ecosystems; IoT passport: a blockchain-based trust framework for collaborative Internet-of-things; an OpenRBAC semantic model for access control in vehicular networks; toward detection of access control models from source code via word embedding; and on the difficulty of using patient's physiological signals in cryptographic protocols.",,,Conference Review,"Final",,Scopus,2-s2.0-85067182358
"Gao Y., Li Y., Jia Y.","57211155558;55513334700;57200444857;","Video computing across trust domains based on blockchain",2019,"ACM International Conference Proceeding Series",,, 165,"","",,,"10.1145/3321408.3326693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072843657&doi=10.1145%2f3321408.3326693&partnerID=40&md5=aad1c0fd83aa2bba23a0402b91fbbc51","Innovation Center China, Academy of Electronics and Information Technology, Beijing, China","Gao, Y., Innovation Center China, Academy of Electronics and Information Technology, Beijing, China; Li, Y., Innovation Center China, Academy of Electronics and Information Technology, Beijing, China; Jia, Y., Innovation Center China, Academy of Electronics and Information Technology, Beijing, China","Smart city construction brings great development opportunities for the video surveillance industry, but it also brings significant challenges. With the development of Internet of things and artificial intelligence technology, video computing across different trust domains has become important and necessary for ensuring public safety and promoting smart city construction. With the continuous increasing of video front-end equipment and massive video data, trust and security problems across different domains, network bandwidth and computing resources are gradually becoming bottlenecks of video computing. We propose a solution based on integration of blockchain and Internet of things which brings together and distributes video data and computing resources to enhance the edge video computing capability. Blockchain provides a distributed solution for trust video computing across different trust domains. We evaluate the performance of blockchain-based video computing solution across different trust domains and the results show that this solution could provide trust video computing across trust domains feasibly and efficiently. This solution implies a new trigger of trust distributed applications and innovative trust economic ecosystem. © 2019 Association for Computing Machinery.","Blockchain; Edge cloud; Internet of things; Privacy; Security; Trust; Video computing","Blockchain; Data privacy; Internet of things; Network security; Security systems; Smart city; Video recording; Artificial intelligence technologies; Computing capability; Distributed applications; Distributed solutions; Edge clouds; Security; Trust; Video computing; Trusted computing",Conference Paper,"Final",,Scopus,2-s2.0-85072843657
"Zivic N., Ruland C., Sassmannshausen J.","35580584200;7004031147;57033992500;","Distributed Ledger Technologies for M2M Communications",2019,"International Conference on Information Networking","2019-January",, 8718115,"301","306",,3,"10.1109/ICOIN.2019.8718115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066736053&doi=10.1109%2fICOIN.2019.8718115&partnerID=40&md5=c1dfd5ec0ced2dd9915976465e7c859b","Carmeq GmbH Berlin, Germany; University of Siegen Siegen, Germany","Zivic, N., Carmeq GmbH Berlin, Germany; Ruland, C., University of Siegen Siegen, Germany; Sassmannshausen, J., University of Siegen Siegen, Germany","Distributed Ledger Technologies (DLT) are seen as data bases of the future, which reduce the cost of trust and revolutionize transactions between individuals, companies and governments. They are considered as one of the main drivers of future applications, especially in field of Machine to Machine (M2) communications which are one of the basic technologies for Internet of Things (IoT). Therefore, Distributed Ledger Technologies with their inherent property to provide security, privacy and decentralized operation are engine for todays and future reliable, autonomous and trusted IoT platforms. For this reason, IoT using DLT can be considered as 'Internet of Trusted Things'. This paper considers tree basic DLT technologies according to their architecture: blockchain, tangle and hashgraph. Their characteristics are compared considering number of criteria, with the aim to find a proper architecture for a specific M2M application. © 2019 IEEE.","Bitcoin; blockchain; Byzantine error; consensus algorithm; digital signature; directed acyclic graph; Distributed Ledger Technology; hash function; hashgraph; Internet of Things; IOTA; Machine-To-Machine; mining; Proof of Stake; Proof of Work; quantum computing; stability; tangle; transactions; trust; Winternitz signatures","Bitcoin; Blockchain; Convergence of numerical methods; Directed graphs; Electronic document identification systems; Hash functions; Internet of things; Mining; Network security; Quantum computers; Consensus algorithms; Directed acyclic graph (DAG); hashgraph; IOTA; Machine to machines; Proof of Stake; Proof of work; Quantum Computing; tangle; transactions; trust; Winternitz signatures; Machine-to-machine communication",Conference Paper,"Final",,Scopus,2-s2.0-85066736053
"Abunaser M., Alkhatib A.A.A.","57209274624;56074090200;","Advanced survey of blockchain for the internet of things smart home",2019,"2019 IEEE Jordan International Joint Conference on Electrical Engineering and Information Technology, JEEIT 2019 - Proceedings",,, 8717441,"58","62",,2,"10.1109/JEEIT.2019.8717441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067117450&doi=10.1109%2fJEEIT.2019.8717441&partnerID=40&md5=0317d71adbbe6de55d952886576a3dbb","Faculty of Science and Information Technology, Al-Zaytoonah University of Jordan, Amman, Jordan","Abunaser, M., Faculty of Science and Information Technology, Al-Zaytoonah University of Jordan, Amman, Jordan; Alkhatib, A.A.A., Faculty of Science and Information Technology, Al-Zaytoonah University of Jordan, Amman, Jordan","Internet of things have many applications, one of them is smart homes. The main drawback of IoT that depends on a centralized cloud. The Blockchain approach with a decentralized technique will solve the centralized cloud approach. Smart homes have many security issues, threats, attacks, user privacy, integrity, etc. Blockchain is playing role in many IoT applications also the solution of these security problems. This paper explains the Blockchain in smart home with the main three tiers, how Blockchain can help to secure the data, transaction, also describe the security analysis in IoT smart homes. © 2019 IEEE.","Blockchain; Internet-of-Things; IoT; Smart Home security","Automation; Blockchain; Intelligent buildings; IOT applications; Security analysis; Security issues; Security problems; Smart homes; User privacy; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85067117450
"Ahmad F., Ahmad Z., Kerrache C.A., Kurugollu F., Adnane A., Barka E.","57191513358;57201398624;56405671800;6602776031;24070114700;19336759600;","Blockchain in internet-of-things: Architecture, applications and research directions",2019,"2019 International Conference on Computer and Information Sciences, ICCIS 2019",,, 8716450,"","",,2,"10.1109/ICCISci.2019.8716450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067045577&doi=10.1109%2fICCISci.2019.8716450&partnerID=40&md5=8bb6af1026c94d83eade75e84f055044","Cyber Security Research Group, College of Engineering and Technology, University of Derby, Derby, United Kingdom; Department of Electrical Engineering, College of Engineering, King Khalid University, Abha, Saudi Arabia; Department of Computer Science, University of Ghardaia, Ghardaia, Algeria; Department of Computer Science, Loughborough University, Loughborough, United Kingdom; College of Information Technology, United Arab Emirates University, Al Ain, United Arab Emirates","Ahmad, F., Cyber Security Research Group, College of Engineering and Technology, University of Derby, Derby, United Kingdom; Ahmad, Z., Department of Electrical Engineering, College of Engineering, King Khalid University, Abha, Saudi Arabia; Kerrache, C.A., Department of Computer Science, University of Ghardaia, Ghardaia, Algeria; Kurugollu, F., Cyber Security Research Group, College of Engineering and Technology, University of Derby, Derby, United Kingdom; Adnane, A., Department of Computer Science, Loughborough University, Loughborough, United Kingdom; Barka, E., College of Information Technology, United Arab Emirates University, Al Ain, United Arab Emirates","The emergence of Internet-of-Things (IoT) has attracted a massive response from different stakeholders including industry, academia and research community due to the wide range of applications it provides. IoT enables devices with storage, computation and communication capabilities to connect to the Internet, thus providing various applications such as smart transportation, smart healthcare, smart industry, logistics and smart homes, to name a few. Since, IoT devices generates sensitive information, therefore, security is an important issue in IoT networks. Recently, Blockchain (BC) is proposed as a revolutionary technology which can be integrated within IoT to provide desired level of security and privacy. However, the integration of BC within IoT networks is extremely challenging. The major contribution of this study is three-fold. (1) Firstly, we proposed a tier-based architecture 'Blockchain in Internet-of-ThingS (BITS)' which can support BC within IoT networks. (2) Secondly, we highlighted various applications of BC in IoT networks, and (3) Lastly, we provided various challenges and future research directions in the realization of BC in IoT networks. © 2019 IEEE.","Blockchain; Distributed Ledger; Internet-of-Things (IoT); Security","Automation; Blockchain; Intelligent buildings; Network architecture; Network security; Communication capabilities; Distributed Ledger; Future research directions; Internet of Things (IOT); Revolutionary technology; Security; Security and privacy; Sensitive informations; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85067045577
"Tabassum K., Ibrahim A., El Rahman S.A.","36160501700;57209922636;37074430800;","Security issues and challenges in IoT",2019,"2019 International Conference on Computer and Information Sciences, ICCIS 2019",,, 8716460,"","",,,"10.1109/ICCISci.2019.8716460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067020730&doi=10.1109%2fICCISci.2019.8716460&partnerID=40&md5=c2e2cb243e3ffcf6ab39da9649722d33","Dept. of Computer Sciences, CCIS, Princess Nourah Bint Abdulrahman University, Riyadh, KSA, Saudi Arabia; Faculty of Engineering, Shoubra Benha University, Cairo, Egypt; Princess Nourah Bint Abdulrahman University, Riyadh, KSA, Saudi Arabia","Tabassum, K., Dept. of Computer Sciences, CCIS, Princess Nourah Bint Abdulrahman University, Riyadh, KSA, Saudi Arabia; Ibrahim, A., Dept. of Computer Sciences, CCIS, Princess Nourah Bint Abdulrahman University, Riyadh, KSA, Saudi Arabia; El Rahman, S.A., Faculty of Engineering, Shoubra Benha University, Cairo, Egypt, Princess Nourah Bint Abdulrahman University, Riyadh, KSA, Saudi Arabia","The Internet of Things (IoT) supports a wide range of applications including smart cities, traffic congestion, waste management, structural health, security, emergency services, logistics, retails, industrial control, and health care. IoT is mega-technology that can establish connection with anything, anyone, at any time, place, service on a platform and any network. It has a great impact on the whole block chain of businesses, smart objects and devices, systems and services that are enabled by heterogeneous network connectivity and is developed as a smart pervasive framework of smart devices. IoT devices are in use in many fields, they connect to complex devices, interface with hostile environments and are deployed on various uncontrolled platforms, therefore faces many security issues and challenges. Since the IoT offers a potential platform for integrating any type of network and complex system it could encounter vulnerabilities inherent to the individual systems which are available within the integrated network. This research paper is a study of the security issues of the individual systems responsible for IoT interconnection and their impact towards the integrated IoT system. © 2019 IEEE.","Big Data Analytics; Device security; Internet of Things; Network security","Big data; Complex networks; Data Analytics; Emergency services; Emergency traffic control; Heterogeneous networks; Internet of things; Traffic congestion; Waste management; Device security; Hostile environments; Individual systems; Industrial controls; Integrated networks; Internet of thing (IOT); Pervasive frameworks; Structural health; Network security",Conference Paper,"Final",,Scopus,2-s2.0-85067020730
"Shabandri B., Maheshwari P.","57209223885;57125711700;","Enhancing IoT Security and Privacy Using Distributed Ledgers with IOTA and the Tangle",2019,"2019 6th International Conference on Signal Processing and Integrated Networks, SPIN 2019",,, 8711591,"1069","1075",,2,"10.1109/SPIN.2019.8711591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066881275&doi=10.1109%2fSPIN.2019.8711591&partnerID=40&md5=c7751b2a8881bac098d532cd25848088","Department of Electronics Telecommunication, Amity University, Dubai, United Arab Emirates","Shabandri, B., Department of Electronics Telecommunication, Amity University, Dubai, United Arab Emirates; Maheshwari, P., Department of Electronics Telecommunication, Amity University, Dubai, United Arab Emirates","The Internet of Things (IoT) devices currently rely on centralized, brokered communication models which call for a number of security flaws and threats. Privacy security remain a challenge owing to the existing systems being centralized - creating a single point of failure. In this paper, we lay out an architecture for incorporating a concept similar to Blockchain - the technology that underpins the cryptocurrency Bitcoin and many other cryptocurrencies to provide decentralized security and privacy for IoT devices. Currently, the issue with most IoT devices is that they lack the processing power, storage and computational overhead to run consensus algorithms to be an active part of the Blockchain network. The current issue with the blockchain on the other hand, is its low scalability and low number of transactions per second. We present an innovative approach using a technology called IOTA. This addresses some of the most important problems with existing blockchain infrastructure such as being able to run on lightweight devices with constrained memory. We eliminate transaction fees and the concept of mining which requires a large amount of processing power to compete with other miners. IOTA's main component is the Tangle, a guided acyclic graph (DAG) for transaction storage. We discuss creation of two IoT applications on the tangle - a smart utility meter system and a smart car transaction system which are connected to internet through Low Power Wide Area IoT networks. © 2019 IEEE.","blockchain; IoT security; LPWAN; smart meter; smart toll system; Tangle","Blockchain; Electronic money; Low power electronics; Signal processing; Smart meters; Toll highways; Wide area networks; Communication models; Computational overheads; Innovative approaches; Internet of thing (IOT); IoT security; LPWAN; Tangle; Toll system; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85066881275
"Jain S., Rastogi U., Bansal N., Kaur G.","57213028646;57209220957;57209226699;57214766732;","Blockchain Based Cryptocurrency for IOT",2019,"2019 6th International Conference on Signal Processing and Integrated Networks, SPIN 2019",,, 8711727,"744","749",,,"10.1109/SPIN.2019.8711727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066887262&doi=10.1109%2fSPIN.2019.8711727&partnerID=40&md5=36fbf5f0ced288db7e01c56584b4489b","Department of Computer Science and Engineering, Jaypee Institute of Information Technology, Noida, India","Jain, S., Department of Computer Science and Engineering, Jaypee Institute of Information Technology, Noida, India; Rastogi, U., Department of Computer Science and Engineering, Jaypee Institute of Information Technology, Noida, India; Bansal, N., Department of Computer Science and Engineering, Jaypee Institute of Information Technology, Noida, India; Kaur, G., Department of Computer Science and Engineering, Jaypee Institute of Information Technology, Noida, India","Prior to blockchain technology coming into much usage, the earlier cryptographic digital cash schemes relied merely on trusted authorities. Bitcoin revolutionized this conventional view of a cryptocurrency, trading decentralized, distributed ledger, completely secured by the majority rule without predetermined authority or owner. Only standard cryptographic primitives such as signatures and hash functions were used to achieve security. Though other cryptocurrencies such as Bit-gold and B-money which are among the authority-free cryptocurrencies, Bitcoin is the first one to experience public acceptance on a large scale. There are various factors which contribute to Bitcoins success, though there is still a little question of doubt that the decentralized design of blockchain technology and perceived resilience to government or third-party intervention played an extremely crucial role in its uptake. Distributed crypto cash, more specifically in Blockchain technology has hailed as one key and most eminent and widely accepted innovation of Bitcoin. In this paper we have worked on the use of blockchain technology to implement cryptocurrency for IOT. © 2019 IEEE.","Blockchain; Decentralized ledger; proof of work; SECP 256 K1; SHA256","Bitcoin; Hash functions; Internet of things; Network security; Signal processing; Cryptographic primitives; Decentralized design; Decentralized ledger; Digital cash scheme; Proof of work; SECP 256 K1; Sha-256; Trusted authorities; Blockchain",Conference Paper,"Final",,Scopus,2-s2.0-85066887262
"Mushtaq A., Haq I.U.","57209097546;24450516000;","Implications of blockchain in industry 4.O",2019,"2019 International Conference on Engineering and Emerging Technologies, ICEET 2019",,, 8711819,"","",,3,"10.1109/CEET1.2019.8711819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066494850&doi=10.1109%2fCEET1.2019.8711819&partnerID=40&md5=f0a0452a10dc49836dc21ed68ca569e7","Pakistan Inst. of Engineering and Applied Sciences (PIEAS), Pakistan","Mushtaq, A., Pakistan Inst. of Engineering and Applied Sciences (PIEAS), Pakistan; Haq, I.U., Pakistan Inst. of Engineering and Applied Sciences (PIEAS), Pakistan","Rapid advancements in Information Technology and industrialization methods have expedited the advent of 4th Industrial revolution also known as integrated industry industrial internet or smart manufacturing. The notion of Industry 4.0 promises unprecedented progress in next generation of manufacturing technology by fundamentally changing the ways of production and value creation with the help of digital transformation in product/service offerings and hori-zontaVvertical value chains. Industry4.0 is underpinned by a spectrum of emerging technologies such as internet of things, cloud computing, machine learning, adaptive robotics, cyber physical systems, artificial intelligence, Industrial Integration, and Service Oriented Computing. Distributed ledger technology also known as blockchain can not only affect Industry4.0 but also has its direct implications in the above mentiond set of technologies. Lack of powerful tools for visibility, accountability and auditing is a major obstacle in complex processes and supply chains of Industry 4.0. In particular, issues of cloning of products, counterfeiting, trickier maintenance and IP theft are crucial teething issues for realizing Industry 4.0, which poses unique challenges. This paper is an effort to break the ground for demonstrating and presenting the use of Blockchain technology in 4th industrial era.In this paper we explore some concepts of industry 4.0 using blockchain technology and see how blockchain enablement is beneficial for industry 4.0. we explore different areas where we can use blockchain technlogy to foster the development in Industry4.0. © 2019 IEEE.","Blockchain; Identity management; Industry4.0; Internet of Things; micro payment; Smart contracts; Supply chain","Artificial intelligence; Blockchain; Distributed computer systems; Embedded systems; Industry 4.0; Internet of things; Learning systems; Supply chains; Digital transformation; Emerging technologies; Identity management; Industrial integration; Industrial revolutions; Manufacturing technologies; Micropayments; Service oriented computing; Engineering education",Conference Paper,"Final",,Scopus,2-s2.0-85066494850
"Prabhakar A., Anjali T.","57201886834;6602758591;","TCON - A lightweight Trust-dependent Consensus framework for blockchain",2019,"2019 11th International Conference on Communication Systems and Networks, COMSNETS 2019",,, 8711448,"","",,1,"10.1109/COMSNETS.2019.8711448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066484397&doi=10.1109%2fCOMSNETS.2019.8711448&partnerID=40&md5=522e8c8c8ac48dc9b374a74d867ea00e","IIIT-B, Bangalore, India","Prabhakar, A., IIIT-B, Bangalore, India; Anjali, T., IIIT-B, Bangalore, India","The consensus algorithm played a significant role in successful adoption of Blockchain technology. The security of bitcoin blockchain hugely depends on the complexity and reliability of the Proof-of-Work (PoW) consensus. However, a non-financial application, whose security requirements are less demanding, requires faster operation and so PoW is not suitable for many of the commercial applications. In this paper, we propose a lightweight Trust-dependent Consensus scheme (TCON) for a blockchain based IoT access control framework. TCON ensures that the blocks are added at a faster rate, spending minimal energy compared to PoW based systems. To the best of our knowledge, this is the first time the notion of trust is quantified and used as a means to simplify the consensus problem in blockchain. A comparison of the various metrics to understand the differences in overhead involved suggest that the proposed scheme outperforms other non-trust-based consensus schemes. © 2019 IEEE.",,"Access control; Commercial applications; Consensus algorithms; Consensus problems; Consensus schemes; Control framework; Financial applications; Minimal energy; Security requirements; Blockchain",Conference Paper,"Final",,Scopus,2-s2.0-85066484397
"Singla V., Malav I.K., Kaur J., Kalra S.","57209109052;57209106243;57209105677;56417249100;","Develop Leave Application using Blockchain Smart Contract",2019,"2019 11th International Conference on Communication Systems and Networks, COMSNETS 2019",,, 8711422,"547","549",,3,"10.1109/COMSNETS.2019.8711422","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066484142&doi=10.1109%2fCOMSNETS.2019.8711422&partnerID=40&md5=503524b046131dba2604e291fb52054e","Deptartment of Computer Science Engineering, Indian Institute of Technology Jodhpur, Jodhpur, India","Singla, V., Deptartment of Computer Science Engineering, Indian Institute of Technology Jodhpur, Jodhpur, India; Malav, I.K., Deptartment of Computer Science Engineering, Indian Institute of Technology Jodhpur, Jodhpur, India; Kaur, J., Deptartment of Computer Science Engineering, Indian Institute of Technology Jodhpur, Jodhpur, India; Kalra, S., Deptartment of Computer Science Engineering, Indian Institute of Technology Jodhpur, Jodhpur, India","In today's time, we use Leave Application System managed by some central authority. This can lead to corruption, misuse by a single authority or unnecessary time for approval. So, in this paper, we have developed smart contract architecture for Leave Management System using Solidity and Ethereum, which is a decentralized app architecture leveraged from Blockchain Technology. We also include smartphones as IoT devices by which any client can use this app. Due to the resource-constrained nature of these devices, the smart contract app is coupled with an alternative centralized architecture which is a classic client/server architecture with an underlying Blockchain backend. © 2019 IEEE.","Blockchain; Ethereum; EVM (Ethereum Virtual Machine); Smart Contract; Solidity","Architecture; Client server computer systems; Ethereum; Network architecture; Application systems; Centralized architecture; Client/server architecture; Contract architecture; EVM (Ethereum Virtual Machine); Management systems; Solidity; Blockchain",Conference Paper,"Final",,Scopus,2-s2.0-85066484142
"Zhang X., Wang H., Shi P., Fu X.","57191257488;15838322600;48361975800;57195371590;","LS4BUCC: A low overhead storage architecture for blockchain based unmanned collaborative cognition system",2019,"Proceedings - 13th IEEE International Conference on Service-Oriented System Engineering, SOSE 2019, 10th International Workshop on Joint Cloud Computing, JCC 2019 and 2019 IEEE International Workshop on Cloud Computing in Robotic Systems, CCRS 2019",,, 8705782,"221","226",,,"10.1109/SOSE.2019.00038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065982054&doi=10.1109%2fSOSE.2019.00038&partnerID=40&md5=75288c467533660b63fb3fbb5bb721cc","College of Computer Science and Technology, National University of Defense Technology, Changsha, Hunan, China","Zhang, X., College of Computer Science and Technology, National University of Defense Technology, Changsha, Hunan, China; Wang, H., College of Computer Science and Technology, National University of Defense Technology, Changsha, Hunan, China; Shi, P., College of Computer Science and Technology, National University of Defense Technology, Changsha, Hunan, China; Fu, X., College of Computer Science and Technology, National University of Defense Technology, Changsha, Hunan, China","In unmanned collaborative cognition scenarios, traditional IoT systems are facing with data security and node privacy problems. However, blockchain together with data encryption technique enables the trustless network due to the tamper-proof, anonymity and unbreakable properties. Nevertheless, there are still some shortages when combining blockchain with IoT systems, for example the storage consumption. Generally speaking, validation nodes in blockchain network need to store a complete copy of the ledger so as to verify transactions and reach the whole network consensus. However, in unmanned collaborative cognition scenarios, many devices' storage capacity are limited. Therefore, in order to solve the storage problem, we propose LS4BUCC, a low overhead storage architecture regarding to the new features of unmanned collaborative cognition systems. It selectively stores data according to the value density. Based on three storage mechanisms and two supportive methods, LS4BUCC can reduce the data storage and maintain the system security and efficiency at the same time. © 2019 IEEE.","Blockchain; IoT System; Low Overhead Storage; Peer-To-peer Network; Unmanned Collaborative Cognition","Blockchain; Cloud computing; Cryptography; Digital storage; Internet of things; Network architecture; Robotics; Systems engineering; Collaborative cognition; IoT System; Low overhead; Network consensus; Privacy problems; Storage architectures; Storage capacity; Storage mechanism; Peer to peer networks",Conference Paper,"Final",,Scopus,2-s2.0-85065982054
